Product,Region,Amount
occur,East Brooke,278.92
different,Donnahaven,360.44
reality,Robinsonfort,305.35
check,Jacksonberg,276.99
then,Markton,217.59
crime,South Mark,326.49
back,Savannahmouth,224.42
trade,North Jeremy,446.97
visit,Port Frederickborough,482.19
daughter,North Abigailton,197.89
marriage,Jordanville,397.95
state,Christopherstad,269.16
thank,Port Robert,288.34
matter,Lake Davidhaven,463.54
anyone,Lake Ashley,44.81
worry,West Stacyside,52.69
best,South Alexismouth,19.91
lawyer,Lake Carolineland,417.98
model,Poolehaven,391.3
every,Port Melaniebury,436.31
also,South Ryanhaven,489.52
seek,East Jonathanville,401.59
push,Rachelfort,236.12
service,Gardnerside,392.46
commercial,Mariahmouth,67.95
certain,East Sarahhaven,323.56
cell,South Shirley,80.24
hard,Lake Davidborough,472.89
smile,Joyceview,265.71
how,Markmouth,213.18
better,Lake Melanieside,139.63
send,South Jane,389.37
player,Ryanstad,233.51
sound,South Karahaven,288.53
himself,South Michael,19.21
ever,West Monica,312.64
senior,East Abigailstad,309.93
develop,Mayshire,312.3
phone,West Colleen,472.44
assume,Owenston,344.09
learn,Johnsonshire,186.16
like,New Michael,224.15
read,Jamesburgh,351.84
quickly,New Elizabeth,39.51
body,Jacobfurt,336.72
skin,Port Catherine,338.61
recent,Ricefort,113.09
sign,Port Julie,73.17
heart,Larryland,164.56
language,West George,188.22
authority,Pattersontown,289.4
lay,South Megan,224.91
many,Port Tiffanybury,494.3
lawyer,Deanport,60.0
hair,Lake Brenda,112.35
change,Port Jennifermouth,89.04
company,New Heather,330.02
purpose,North Rebeccatown,134.11
deal,South Logan,238.49
born,Williamsberg,129.77
institution,West Cassandra,87.9
around,Port Danielle,64.08
various,Port Markmouth,331.6
campaign,West Josephberg,77.71
public,Dianetown,106.33
expect,Justinville,190.68
race,Kellyfort,412.29
media,South Richardland,57.58
ask,North Kathrynside,420.59
create,West Kevin,57.09
list,New Barbarachester,488.47
believe,New Brianton,239.64
once,Johnsonshire,488.61
science,Allenhaven,306.37
citizen,Port Nicholasside,372.24
want,West Sara,29.2
time,South Dylan,148.58
across,East Pamborough,68.9
whom,South Andreashire,155.11
notice,Newmanstad,68.18
place,Burchton,165.81
people,East Eric,212.99
station,New Deborah,41.43
identify,East Glorialand,349.31
vote,South Michael,287.63
throw,Lindseymouth,140.04
phone,North Sheila,266.39
require,New Ryan,56.03
environment,Zamoraview,292.21
although,Lake Samantha,465.36
century,East Kimberlyhaven,166.1
red,Katieland,337.03
project,Stephanieville,74.58
past,Christianchester,361.0
piece,South Sharonfort,151.81
country,New Jasonstad,99.76
once,Millerview,297.39
someone,Port Savannahside,19.85
add,Josephfurt,416.18
probably,West Rachel,12.3
